Cell#,Cascade ID,Switch,NEID,Repoll#,Latitude,Longitude,BTS Manufacturer,Sector,Azimuth,CDR Status,,,,,,,,,,,,,,,
70,NY05XC606,NY-LI_CITY-MSC_2,158,232,40.669444,-73.751389,Lucent,3,255,Active,,,,,,,,,,,,,,,
71,NY05XC649,NY-LI_CITY-MSC_2,158,232,40.733611,-73.869166,Lucent,1,0,Active,,,,,,,,,,,,,,,
71,NY05XC649,NY-LI_CITY-MSC_2,158,232,40.733611,-73.869166,Lucent,2,120,Active,,,,,,,,,,,,,,,
71,NY05XC649,NY-LI_CITY-MSC_2,158,232,40.733611,-73.869166,Lucent,3,240,Active,,,,,,,,,,,,,,,
72,NY05XC640,NY-LI_CITY-MSC_2,158,232,40.736666,-73.758333,Lucent,1,350,Active,,,,,,,,,,,,,,,
72,NY05XC640,NY-LI_CITY-MSC_2,158,232,40.736666,-73.758333,Lucent,2,100,Active,,,,,,,,,,,,,,,
72,NY05XC640,NY-LI_CITY-MSC_2,158,232,40.736666,-73.758333,Lucent,3,230,Active,,,,,,,,,,,,,,,
73,NY73XC763,NY-LI_CITY-MSC_2,158,232,40.710806,-73.768388,Lucent,1,60,Active,,,,,,,,,,,,,,,
73,NY73XC763,NY-LI_CITY-MSC_2,158,232,40.710806,-73.768388,Lucent,2,180,Active,,,,,,,,,,,,,,,
73,NY73XC763,NY-LI_CITY-MSC_2,158,232,40.710806,-73.768388,Lucent,3,270,Active,,,,,,,,,,,,,,,
74,NY05XC644,NY-LI_CITY-MSC_2,158,232,40.723055,-73.838055,Lucent,1,0,Nonactive,,,,,,,,,,,,,,,
